Ciudad,Gravedad,Latitud,Longitud,Altitud
Nicosia,9.7979,35.180282,33.373696,139
Taipei,9.7904,25.037519,121.563679,25
Copenague,9.8159,55.686724,12.570072,11
Túnez,9.7799,36.784407,10.183001,26
Quito,9.7724,-0.220164,-78.512327,2877
Ankara,9.8024,39.921522,32.853793,871
Helsinki,9.8189,60.167409,24.942568,29
Montevideo,9.7964,-34.905904,-56.191357,21
Dusseldorf,9.8129,51.225402,6.776314,41
Oslo,9.8189,59.91333,10.73897,0
Londres,9.8144,51.507322,-0.127647,33
Anchorage,9.8189,61.216313,-149.894852,0
Atenas,9.8009,37.984149,23.727984,88
Atlanta,9.7964,33.749099,-84.390185,309
Ciudad de Guatemala,9.7844,14.622233,-90.518519,1509
Boston,9.8039,42.360253,-71.058291,8
Budapest,9.8069,47.498382,19.040471,137
Chicago,9.8024,41.875562,-87.624421,175
Jakarta,9.7814,-6.175394,106.827183,8
Dallas,9.7949,32.776272,-96.796856,132
Bagdad,9.7964,33.302431,44.378799,39
Detroit,9.8039,42.331551,-83.04664,183
Mishima,9.7979,35.147361,138.948903,146
Los Ángeles,9.7979,34.053683,-118.242767,102
Seúl,9.7994,37.566679,126.978291,51
Nueva York,9.8024,40.730862,-73.987156,13
Kuwait,9.7919,29.373312,47.977835,17
Filadelfia,9.8024,39.952415,-75.163575,7
Beirut,9.7964,33.89592,35.47843,0
San Francisco,9.7994,37.779026,-122.419906,70
Puerto Luis,9.7859,-20.169373,57.509494,191
Caracas,9.7829,10.506098,-66.914602,1078
Buenos Aires,9.7979,-34.607562,-58.437076,25
Sídney,9.7979,-33.854816,151.216454,7
Viena,9.8099,48.208354,16.372504,189
Bruselas,9.8114,50.846557,4.351697,28
Manama ,9.7904,26.223504,50.582244,5
La paz,9.7844,-16.495637,-68.133635,3931
Barsilia,9.7889,-15.793404,-47.882308,1089
Montreal,9.8069,45.497216,-73.610364,59
Ottawa,9.8069,45.421106,-75.690308,58
Toronto,9.8054,43.653963,-79.387207,91
Vancuver,9.8099,49.260872,-123.113953,18
Praga,9.8114,50.087465,14.421254,195
Santiago,9.7979,-33.437797,-70.650445,567
Hong Kong,9.8099,22.350627,114.184916,96
Bogota,9.7799,4.598077,-74.076103,2749
San Jose,9.7829,9.932543,-84.079578,1182
Ciudad de Mexico,9.7799,19.432601,-99.133342,2240
Rabat,9.7964,34.022405,-6.834543,7
Amsterdam,9.8129,52.372760,4.893604,5
Wellintong,9.8039,-41.288749,174.777898,112
Ciudad de Panama,9.7814,8.971449,-79.534180,15
Lima,9.7829,-12.062106,-77.036526,161
Manila,9.7844,14.590622,120.979970,7
Świder,9.8159,51.892584,21.920666,179
Lisboa,9.8009,38.743665,-9.151736,81
Bucarest,9.8054,44.436141,26.102720,83
Riyad,9.7904,24.631969,46.715065,591
Estocolmo,9.8189,59.325117,18.071094,29
Singapur,9.7814,1.290475,103.852036,3
Johannesburg,9.7919,-26.205000,28.049722,1747
Madrid,9.8024,40.416705,-3.703582,698
Berna,9.8084,46.948271,7.451451,557
South Pole,9.99,-90,0
North Pole,9.99,90,0
